212876.1 3079402.0  560.30  9094 30  2917
212903.9 3079303.6  571.02  9041 30  3012
213149.2 3079854.5  533.59  5136 30  2824
213128.0 3080707.0  524.20  2059 30  2885
212667.0 3081849.6  403.01  1718 30  2370
211991.3 3082699.5  310.61 -2030 30  1895
212073.2 3083784.0   15.05  -608 30  1311
213233.0 3082550.1  237.63  -680 30  1694
211970.5 3080906.3  548.61  5623 30  2620
209871.7 3080773.5  499.69 14220 30  2862
207984.8 3080598.8  433.44 19187 30  2776
205924.5 3080774.3  301.04 16074 30  4493
210597.2 3082182.2  279.79  4713 30  1732
209682.5 3082771.4   94.82  5824 30  1653
208610.3 3082812.5   59.26  7769 30  1567
212233.6 3077971.4  698.06 14936 30  4624
210479.0 3076591.8 1030.20 30961 30  6545
210037.0 3076324.8 1040.17 35639 30  5800
208632.8 3075408.1 1047.57 41773 30  4774
208597.9 3077221.7  973.58 35162 30  4333
208942.9 3078549.7  830.79 26333 30  3673
207785.2 3079014.0  738.29 26577 30  3747
206409.6 3079465.0  643.34 21767 30  6982
207951.8 3080092.8  555.73 19815 30  3191
209214.5 3079205.0  744.51 21758 30  3755
209920.5 3077298.1 1108.64 27751 30  6677
210044.2 3078069.2 1024.39 24589 30  5811
211950.5 3079013.3  781.94 13427 30  4277
211334.9 3080037.7  669.87 11217 30  3282
207581.0 3075070.7 1094.40 43945 30  5328
206231.2 3074650.0 1229.64 38337 30 11654
206552.1 3076191.7 1108.74 38871 30  7733
207229.4 3077708.1  929.58 33381 30  5463
207864.5 3076477.7 1047.33 40900 30  5053
205999.4 3073149.3 1307.33 36429 30 10884
203753.6 3071414.8 1283.89 34781 30 10744
202524.1 3071009.3 1187.31 40324 30  9566
200869.7 3071308.2 1063.60 46294 30  8610
200317.3 3071596.9 1012.95 47775 30  8919
199524.3 3072016.6  943.21 47966 30  9346
200999.9 3072043.9  819.74 45834 30  7590
202373.5 3071972.4  697.08 45739 30  6319
200570.1 3072533.0  589.50 45859 30  6441
203183.2 3072914.5  427.49 42918 30  5846
204662.0 3073832.9  309.46 42277 30  7228
203338.0 3073759.2  239.61 41990 30  4124
201343.0 3070134.4 1275.28 39583 30  8683
200344.6 3070497.6 1392.52 41117 30 11767
200213.2 3070878.5 1497.08 39431 30 16013
198671.2 3070217.8 1348.54 41401 30 12753
197525.4 3070254.7 1300.45 40649 30 11965
196207.3 3070648.6 1231.69 41332 30 10398
194967.2 3071391.6 1184.06 37458 30 11074
194942.5 3069840.2  921.22 36379 30  6699
193737.3 3070531.0  820.01 34484 30  5059
192540.6 3070937.6  677.55 32048 30  3385
192164.0 3072206.5  688.56 30583 30  3661
192624.7 3073923.0  659.45 27736 30  8657
191047.8 3070836.6  535.28 24976 30  2862
189720.6 3070848.3  273.43 23270 30  2174
190280.6 3069512.8  174.82 23059 30  1642
189711.0 3068631.1  111.14 13987 30  1286
190913.7 3068441.2   10.93 20705 30  2168
192601.0 3070040.2  605.61 30826 30  3449
196402.8 3069669.0  960.47 41877 30  7834
