 215873. 3079729.   -6645.    -362.    4097.   -4459.     2.49        
 209580. 3074217.     689.   39628.   37769.    1859.     1.04        
 210677. 3074800.    -556.   37892.   35581.    2310.     1.29        
 209267. 3072388.    1196.   32802.   32419.     383.     0.21        
 208459. 3072668.    2047.   34417.   34197.     220.     0.12        
 208560. 3073530.    1859.   37701.   36517.    1184.     0.66        
 207555. 3074109.    2896.   39625.   37221.    2404.     1.34        
 207183. 3072687.    3430.   33979.   33557.     422.     0.24        
 206682. 3070833.    4143.   28721.   28887.    -166.     0.09        
 206656. 3069838.    4262.   26561.   26039.     521.     0.29        
 204586. 3068304.    6650.   19126.   22824.   -3698.     2.06        
 204746. 3069350.    6381.   25760.   25833.     -73.     0.04        
 205200. 3070926.    5743.   27140.   28970.   -1830.     1.02        
 205454. 3077954.    4825.   27824.   27288.     536.     0.30        
 205294. 3078328.    4963.   24209.   24854.    -645.     0.36        
 204959. 3077206.    5430.   32715.   29461.    3254.     1.82        
 203579. 3077169.    6931.   24528.   25348.    -820.     0.46        
 203193. 3076840.    7380.   23414.   25584.   -2170.     1.21        
 203374. 3075980.    7262.   29097.   28899.     198.     0.11        
 202412. 3075190.    8379.   27869.   29407.   -1538.     0.86        
 201948. 3075220.    8880.   26939.   28698.   -1759.     0.98        
 201582. 3074495.    9344.   30680.   30679.       1.     0.00        
 200468. 3074456.   10555.   27951.   30112.   -2162.     1.21        
 199189. 3074004.   11985.   28642.   30687.   -2046.     1.14        
 198155. 3073680.   13137.   29202.   30828.   -1626.     0.91        
 196322. 3073438.   15148.   28195.   28206.     -11.     0.01        
 194956. 3073720.   16605.   22186.   21930.     256.     0.14        
 194259. 3073852.   17349.   21279.   18663.    2616.     1.46        
 194773. 3073022.   16867.   23884.   21889.    1995.     1.11        
 196353. 3072899.   15163.   32134.   29709.    2425.     1.35        
 198068. 3073406.   13256.   30043.   31353.   -1310.     0.73        
 200045. 3073266.   11124.   34625.   34204.     421.     0.24        
 202034. 3073469.    8946.   34105.   33855.     250.     0.14        
 204334. 3075535.    6261.   35264.   33065.    2199.     1.23        
 205893. 3067645.    5292.   18590.   19492.    -902.     0.50        
 206854. 3066956.    4312.   15953.   16417.    -464.     0.26        
 206260. 3065694.    5072.   10477.   13155.   -2678.     1.50        
 205836. 3064348.    5656.    4981.    9416.   -4434.     2.48        
 204530. 3063674.    7134.    9702.    9489.     212.     0.12        
 205418. 3062846.    6247.    4926.    6311.   -1385.     0.77        
 204601. 3061595.    7248.    1289.    4348.   -3059.     1.71        
 206090. 3061040.    5682.   -2182.    1383.   -3566.     1.99        
 203456. 3063776.    8291.   10568.   10667.     -99.     0.06        
 202346. 3064196.    9457.   11000.   12582.   -1581.     0.88        
 204875. 3074570.    5762.   36208.   36151.      57.     0.03        
 193182. 3074381.   18470.   17567.   13721.    3846.     2.15        
 192114. 3075419.   19533.    9371.    9635.    -264.     0.15        
 190000. 3074000.   21958.    7432.    5888.    1545.     0.86        
 189240. 3073431.   22835.    1946.    4312.   -2366.     1.32        
 190049. 3073036.   21992.    1856.    5350.   -3494.     1.95        
 190286. 3071559.   21871.    2378.    4938.   -2560.     1.43        
 190066. 3074551.   21836.    4909.    6025.   -1116.     0.62        
 202440. 3074438.    8417.   31816.   31629.     187.     0.10        
 203740. 3074594.    6992.   33843.   33330.     513.     0.29        
 198554. 3072315.   12829.   33867.   32088.    1779.     0.99        
 197603. 3072189.   13872.   33491.   31427.    2064.     1.15        
 196787. 3071812.   14792.   34664.   30538.    4126.     2.30        
 199659. 3072564.   11606.   36346.   34503.    1843.     1.03        
 201698. 3072626.    9389.   35664.   35260.     404.     0.23        
 204096. 3073071.    6745.   35018.   34107.     911.     0.51        
 204425. 3067233.    6923.   22812.   19820.    2993.     1.67        
 203203. 3067162.    8255.   21881.   21066.     815.     0.46        
 202284. 3067518.    9220.   24749.   23636.    1113.     0.62        
 205825. 3066424.    5478.   16546.   15783.     763.     0.43        
 205223. 3065848.    6184.   14189.   14657.    -467.     0.26        
 204046. 3065582.    7485.   16213.   15157.    1056.     0.59        
 203180. 3065815.    8403.   18882.   16817.    2065.     1.15        
 205416. 3064944.    6056.   10349.   11813.   -1464.     0.82        
 204445. 3064854.    7118.   12358.   12644.    -286.     0.16        
 203604. 3065094.    8010.   16120.   14151.    1970.     1.10        
 205388. 3060760.    6471.   -1398.    1776.   -3174.     1.77        
 201492. 3064726.   10335.   17321.   14847.    2473.     1.38        
 207164. 3067638.    3913.   18006.   18329.    -324.     0.18        
 200918. 3069094.   10558.   30768.   29845.     923.     0.52        
 200510. 3068482.   11057.   29601.   28899.     702.     0.39        
 206687. 3073972.    3851.   34850.   35007.    -157.     0.09        
 205873. 3072746.    4846.   31330.   31848.    -518.     0.29        
 204483. 3071502.    6469.   26926.   29684.   -2758.     1.54        
 203731. 3071408.    7293.   27344.   30107.   -2763.     1.54        
 203105. 3071246.    7988.   30377.   30646.    -268.     0.15        
 202514. 3071009.    8651.   31667.   31256.     410.     0.23        
 201696. 3071075.    9532.   35064.   32561.    2503.     1.40        
 200799. 3071433.   10473.   35169.   33712.    1457.     0.81        
 200396. 3071976.   10861.   35341.   34513.     828.     0.46        
 201747. 3071904.    9401.   37632.   34978.    2654.     1.48        
 201460. 3072276.    9679.   37584.   35369.    2215.     1.24        
 203634. 3073150.    7240.   35211.   34443.     768.     0.43        
 204156. 3073722.    6620.   33099.   34663.   -1564.     0.87        
 202978. 3073373.    7931.   35776.   34375.    1400.     0.78        
 201635. 3073315.    9394.   34996.   34325.     671.     0.37        
